,file name,duration,file path
0,file1000.wav_16k.wav_norm.wav_mono.wav_silence.wav,9.5321875,d:\kuliah\mbkm research\ai voice detector\preprocess\dataset\for-norm\training\real\file1000.wav_16k.wav_norm.wav_mono.wav_silence.wav
1,file10006.wav_16k.wav_norm.wav_mono.wav_silence.wav,8.341125,d:\kuliah\mbkm research\ai voice detector\preprocess\dataset\for-norm\training\real\file10006.wav_16k.wav_norm.wav_mono.wav_silence.wav
2,file10009.wav_16k.wav_norm.wav_mono.wav_silence.wav,6.5075,d:\kuliah\mbkm research\ai voice detector\preprocess\dataset\for-norm\training\real\file10009.wav_16k.wav_norm.wav_mono.wav_silence.wav
3,file10013.wav_16k.wav_norm.wav_mono.wav_silence.wav,8.4428125,d:\kuliah\mbkm research\ai voice detector\preprocess\dataset\for-norm\training\real\file10013.wav_16k.wav_norm.wav_mono.wav_silence.wav
4,file10015.wav_16k.wav_norm.wav_mono.wav_silence.wav,8.758375,d:\kuliah\mbkm research\ai voice detector\preprocess\dataset\for-norm\training\real\file10015.wav_16k.wav_norm.wav_mono.wav_silence.wav
5,file10018.wav_16k.wav_norm.wav_mono.wav_silence.wav,6.3586875,d:\kuliah\mbkm research\ai voice detector\preprocess\dataset\for-norm\training\real\file10018.wav_16k.wav_norm.wav_mono.wav_silence.wav
6,file10023.wav_16k.wav_norm.wav_mono.wav_silence.wav,6.237625,d:\kuliah\mbkm research\ai voice detector\preprocess\dataset\for-norm\training\real\file10023.wav_16k.wav_norm.wav_mono.wav_silence.wav
7,file10026.wav_16k.wav_norm.wav_mono.wav_silence.wav,8.17525,d:\kuliah\mbkm research\ai voice detector\preprocess\dataset\for-norm\training\real\file10026.wav_16k.wav_norm.wav_mono.wav_silence.wav
8,file10027.wav_16k.wav_norm.wav_mono.wav_silence.wav,8.6354375,d:\kuliah\mbkm research\ai voice detector\preprocess\dataset\for-norm\training\real\file10027.wav_16k.wav_norm.wav_mono.wav_silence.wav
9,file10029.wav_16k.wav_norm.wav_mono.wav_silence.wav,7.7878125,d:\kuliah\mbkm research\ai voice detector\preprocess\dataset\for-norm\training\real\file10029.wav_16k.wav_norm.wav_mono.wav_silence.wav
10,file10030.wav_16k.wav_norm.wav_mono.wav_silence.wav,6.731625,d:\kuliah\mbkm research\ai voice detector\preprocess\dataset\for-norm\training\real\file10030.wav_16k.wav_norm.wav_mono.wav_silence.wav
11,file10031.wav_16k.wav_norm.wav_mono.wav_silence.wav,8.88525,d:\kuliah\mbkm research\ai voice detector\preprocess\dataset\for-norm\training\real\file10031.wav_16k.wav_norm.wav_mono.wav_silence.wav
12,file10035.wav_16k.wav_norm.wav_mono.wav_silence.wav,9.498625,d:\kuliah\mbkm research\ai voice detector\preprocess\dataset\for-norm\training\real\file10035.wav_16k.wav_norm.wav_mono.wav_silence.wav
13,file10036.wav_16k.wav_norm.wav_mono.wav_silence.wav,9.3714375,d:\kuliah\mbkm research\ai voice detector\preprocess\dataset\for-norm\training\real\file10036.wav_16k.wav_norm.wav_mono.wav_silence.wav
14,file10037.wav_16k.wav_norm.wav_mono.wav_silence.wav,9.6260625,d:\kuliah\mbkm research\ai voice detector\preprocess\dataset\for-norm\training\real\file10037.wav_16k.wav_norm.wav_mono.wav_silence.wav
15,file10039.wav_16k.wav_norm.wav_mono.wav_silence.wav,6.76875,d:\kuliah\mbkm research\ai voice detector\preprocess\dataset\for-norm\training\real\file10039.wav_16k.wav_norm.wav_mono.wav_silence.wav
16,file10040.wav_16k.wav_norm.wav_mono.wav_silence.wav,10.039125,d:\kuliah\mbkm research\ai voice detector\preprocess\dataset\for-norm\training\real\file10040.wav_16k.wav_norm.wav_mono.wav_silence.wav
17,file10056.wav_16k.wav_norm.wav_mono.wav_silence.wav,8.06575,d:\kuliah\mbkm research\ai voice detector\preprocess\dataset\for-norm\training\real\file10056.wav_16k.wav_norm.wav_mono.wav_silence.wav
18,file10058.wav_16k.wav_norm.wav_mono.wav_silence.wav,6.116125,d:\kuliah\mbkm research\ai voice detector\preprocess\dataset\for-norm\training\real\file10058.wav_16k.wav_norm.wav_mono.wav_silence.wav
